,Potential,Current
123,0.21956268750000027,9.375000000000355e-05
124,0.22455956249999998,-4.3749999999986854e-05
125,0.2295564374999997,9.375000000000355e-05
126,0.23455331250000014,-7.500000000000284e-05
127,0.23955018749999984,6.249999999998756e-05
128,0.24454706250000027,6.249999999985434e-06
129,0.24954393749999998,3.1250000000015986e-05
130,0.2545408124999997,6.249999999998756e-05
131,0.2595376875000001,-3.750000000000142e-05
132,0.26453456249999985,0.00010625000000001883
133,0.26953143750000025,-9.999999999998899e-05
134,0.2745283125,5.00000000000167e-05
135,0.2795251874999997,-1.2500000000015276e-05
136,0.2845220625000001,6.249999999985434e-06
137,0.28951893749999985,8.750000000001812e-05
138,0.29451581250000025,-5.00000000000167e-05
139,0.2995126875,8.750000000001812e-05
140,0.3045095624999997,-8.124999999998827e-05
